20150608T002432Z|204.236.235.245|solaris.cs.tsinghua.edu.cn:80|/profile/SAML2/Redirect/SSO|
20150608T135554Z|122.235.41.192|solaris.cs.tsinghua.edu.cn:11154|/profile/SAML2/Redirect/SSO|
20150608T151215Z|211.68.2.46|solaris.cs.tsinghua.edu.cn:11154|/profile/SAML2/Redirect/SSO|
20150608T151215Z|211.68.2.46|solaris.cs.tsinghua.edu.cn:11154|/profile/SAML2/Redirect/SSO|
20150608T151224Z|211.68.2.46|solaris.cs.tsinghua.edu.cn:11154|/profile/SAML2/Redirect/SSO|
20150608T151515Z|211.68.2.46|solaris.cs.tsinghua.edu.cn:11154|/profile/SAML2/Redirect/SSO|
20150608T151515Z|211.68.2.46|solaris.cs.tsinghua.edu.cn:11154|/profile/SAML2/Redirect/SSO|
20150608T151534Z|211.68.2.46|solaris.cs.tsinghua.edu.cn:11154|/profile/SAML2/Redirect/SSO|
20150608T151622Z|211.68.2.46|solaris.cs.tsinghua.edu.cn:11154|/profile/SAML2/Redirect/SSO|
20150608T151624Z|211.68.2.46|solaris.cs.tsinghua.edu.cn:11154|/profile/SAML2/Redirect/SSO|
20150608T152726Z|192.168.1.114|idp.edx.org:8080|/profile/SAML2/Redirect/SSO|
20150608T152737Z|192.168.1.114|idp.edx.org:8080|/profile/SAML2/Redirect/SSO|
20150608T153309Z|211.68.2.46|solaris.cs.tsinghua.edu.cn:11154|/profile/SAML2/Redirect/SSO|
20150608T153312Z|211.68.2.46|solaris.cs.tsinghua.edu.cn:11154|/profile/SAML2/Redirect/SSO|
20150608T153342Z|211.68.2.46|solaris.cs.tsinghua.edu.cn:11154|/profile/SAML2/Redirect/SSO|
20150608T153344Z|211.68.2.46|solaris.cs.tsinghua.edu.cn:11154|/profile/SAML2/Redirect/SSO|
20150608T153736Z|211.68.2.46|solaris.cs.tsinghua.edu.cn:11154|/profile/SAML2/Redirect/SSO|
20150608T153738Z|211.68.2.46|solaris.cs.tsinghua.edu.cn:11154|/profile/SAML2/Redirect/SSO|
